"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"03075099999","1934-03-28","58.458889","-3.093056","38.4","WICK, UK","  44.7"," 4","  40.5"," 4","1018.7"," 4","999.9"," 0"," 12.4"," 4"," 11.0"," 4"," 13.0","999.9","  51.1"," ","  39.9"," "," 0.00","I","999.9","000000"
"03075099999","1934-03-29","58.458889","-3.093056","38.4","WICK, UK","  42.3"," 4","  38.2"," 4","1019.5"," 4","999.9"," 0"," 12.4"," 4"," 16.8"," 4"," 18.1","999.9","  48.9"," ","  39.9"," "," 0.00","I","999.9","000000"
"03075099999","1934-03-30","58.458889","-3.093056","38.4","WICK, UK","  39.8"," 4","  36.5"," 4","1016.7"," 4","999.9"," 0"," 10.9"," 4"," 18.1"," 4"," 18.1","999.9","  44.1"," ","  37.0"," ","99.99"," ","999.9","010000"
"03075099999","1934-03-31","58.458889","-3.093056","38.4","WICK, UK","  41.2"," 4","  38.0"," 4","1019.1"," 4","999.9"," 0"," 10.9"," 4"," 16.8"," 4"," 18.1","999.9","  43.0","*","  37.9"," ","99.99"," ","999.9","010000"
"03075099999","1934-04-01","58.458889","-3.093056","38.4","WICK, UK","  42.3"," 4","  39.0"," 4","1024.7"," 4","999.9"," 0"," 12.4"," 4"," 12.0"," 4"," 13.0","999.9","  44.1"," ","  39.0"," ","99.99"," ","999.9","010000"
"03075099999","1934-04-02","58.458889","-3.093056","38.4","WICK, UK","  42.8"," 4","  38.8"," 4","1028.9"," 4","999.9"," 0"," 12.4"," 4"," 11.0"," 4"," 13.0","999.9","  46.0"," ","  39.9"," ","99.99"," ","999.9","010000"
"03075099999","1934-04-03","58.458889","-3.093056","38.4","WICK, UK","  41.5"," 4","  38.3"," 4","1024.3"," 4","999.9"," 0"," 12.4"," 4"," 12.0"," 4"," 13.0","999.9","  46.0"," ","  37.9"," ","99.99"," ","999.9","010100"
"03075099999","1934-04-04","58.458889","-3.093056","38.4","WICK, UK","  41.0"," 4","  39.2"," 4","1017.3"," 4","999.9"," 0"," 10.9"," 4"," 27.7"," 4"," 36.9","999.9","  46.0"," ","  39.0"," ","99.99"," ","999.9","010000"
"03075099999","1934-04-05","58.458889","-3.093056","38.4","WICK, UK","  39.7"," 4","  31.7"," 4","1018.1"," 4","999.9"," 0"," 12.4"," 4"," 27.1"," 4"," 36.9","999.9","  43.0"," ","  36.0"," ","99.99"," ","999.9","011000"
"03075099999","1934-04-06","58.458889","-3.093056","38.4","WICK, UK","  39.4"," 4","  34.7"," 4","1010.0"," 4","999.9"," 0"," 12.4"," 4"," 22.7"," 4"," 29.9","999.9","  42.1"," ","  32.0"," ","99.99"," ","999.9","011000"
"03075099999","1934-04-07","58.458889","-3.093056","38.4","WICK, UK","  36.3"," 4","  34.5"," 4","1000.4"," 4","999.9"," 0","  5.0"," 4"," 13.7"," 4"," 23.9","999.9","  42.1"," ","  33.1","*","99.99"," ","999.9","011100"
"03075099999","1934-04-08","58.458889","-3.093056","38.4","WICK, UK","  37.3"," 4","  36.2"," 4","1001.1"," 4","999.9"," 0","  7.8"," 4"," 31.7"," 4"," 43.9","999.9","  39.0","*","  30.0"," ","99.99"," ","999.9","011000"
"03075099999","1934-04-09","58.458889","-3.093056","38.4","WICK, UK","  37.8"," 4","  31.5"," 4","1013.1"," 4","999.9"," 0"," 10.9"," 4"," 27.5"," 4"," 36.9","999.9","  39.9"," ","  34.0"," ","99.99"," ","999.9","010000"
"03075099999","1934-04-10","58.458889","-3.093056","38.4","WICK, UK","  39.2"," 4","  30.3"," 4","1015.8"," 4","999.9"," 0"," 12.4"," 4"," 23.9"," 4"," 23.9","999.9","  39.9"," ","  36.0"," ","99.99"," ","999.9","010000"
"03075099999","1934-04-11","58.458889","-3.093056","38.4","WICK, UK","  38.5"," 4","  37.5"," 4","1012.8"," 4","999.9"," 0"," 10.9"," 4"," 31.9"," 4"," 36.9","999.9","  41.0"," ","  35.1"," ","99.99"," ","999.9","010000"
"03075099999","1934-04-12","58.458889","-3.093056","38.4","WICK, UK","  39.7"," 4","  37.3"," 4","1010.9"," 4","999.9"," 0","  9.3"," 4"," 36.9"," 4"," 36.9","999.9","  41.0"," ","  35.1"," ","99.99"," ","999.9","010000"
"03075099999","1934-04-13","58.458889","-3.093056","38.4","WICK, UK","  43.5"," 4","  41.7"," 4","1006.8"," 4","999.9"," 0","  7.8"," 4"," 19.0"," 4"," 36.9","999.9","  48.9","*","  37.0"," ","99.99"," ","999.9","010000"
"03075099999","1934-04-14","58.458889","-3.093056","38.4","WICK, UK","  45.5"," 4","  44.5"," 4","1003.7"," 4","999.9"," 0","  6.2"," 4"," 19.7"," 4"," 23.9","999.9","  50.0"," ","  44.1"," ","99.99"," ","999.9","010000"
"03075099999","1934-04-15","58.458889","-3.093056","38.4","WICK, UK","  46.5"," 4","  45.5"," 4","1002.2"," 4","999.9"," 0","  7.8"," 4"," 17.0"," 4"," 23.9","999.9","  46.9","*","  44.1"," ","99.99"," ","999.9","010000"
